best_gt_class,best_gt_instance_id,best_gt_point_count,best_iou,candidate_id,coverage,error_type,matched_points,overlap_gt_count_10pct,point_count,precision,scene_name,source_track_ids,superpoint_count,support_score,valid_gt_point_fraction,visual_path
toilet,17005,2443,0.58272800645682,0,0.5910765452312731,good_geometry,1444,1,1479,0.9763353617308993,scene0146_01,[0],0,166.82654584738913,0.9763353617308993,docs/diagnostics/sam2_reobservation_soft_confirmed_smoke3_20260721/scene0146_01/visuals/candidate0000_good_geometry.png
trash can,56001,4050,0.8258400378608614,2,0.8617283950617284,good_geometry,3490,1,3666,0.9519912711402073,scene0146_01,[2],0,40.059736856182084,0.9522640480087289,docs/diagnostics/sam2_reobservation_soft_confirmed_smoke3_20260721/scene0146_01/visuals/candidate0002_good_geometry.png
object,1163016,670,0.0008880206020779682,4,0.014925373134328358,weak_or_wrong_geometry,10,0,10601,0.0009433072351664937,scene0146_01,[4],0,37.86376777865254,0.0016979530232996887,docs/diagnostics/sam2_reobservation_soft_confirmed_smoke3_20260721/scene0146_01/visuals/candidate0004_weak_or_wrong_geometry.png
sink,14002,1968,0.13109756097560976,7,0.13109756097560976,fragment_or_undercoverage,258,1,258,1.0,scene0146_01,[7],0,24.13409776810471,1.0,docs/diagnostics/sam2_reobservation_soft_confirmed_smoke3_20260721/scene0146_01/visuals/candidate0007_fragment_or_undercoverage.png
,-1,0,0.0,3,0.0,background_or_non_instance,0,0,191,0.0,scene0146_01,[3],0,20.0,0.0,
rail,95017,639,0.7417302798982188,6,0.9123630672926447,good_geometry,583,1,730,0.7986301369863014,scene0146_01,[6],0,17.6459944419563,0.7986301369863014,docs/diagnostics/sam2_reobservation_soft_confirmed_smoke3_20260721/scene0146_01/visuals/candidate0006_good_geometry.png
,-1,0,0.0,5,0.0,background_or_non_instance,0,0,134,0.0,scene0146_01,[5],0,14.29540455225654,0.0,
door,5012,207,0.01592306479583793,1,0.48792270531400966,weak_or_wrong_geometry,101,0,6237,0.01619368286034953,scene0146_01,[1],0,10.713247233865792,0.01619368286034953,docs/diagnostics/sam2_reobservation_soft_confirmed_smoke3_20260721/scene0146_01/visuals/candidate0001_weak_or_wrong_geometry.png
