scene_name,candidate_id,candidate_class_name,target_existing_mask_id,target_existing_class_id,target_existing_class_name,target_existing_score,old_mask_points,new_largest_cc_points,point_delta,best_existing_iou,seed_in_existing_mask_ratio,source_kind,action_reason,reason
scene0077_00,1,printer,14,41,printer,1.0,1629,1468,-161,0.5140845070422535,0.9192229038854806,mask_graph_multi_view,,would_shrink_existing_mask
scene0423_01,3,armchair,4,18,armchair,1.0,4356,2521,-1835,0.4746467165419784,1.0,mask_graph_multi_view,,would_shrink_existing_mask
scene0695_02,1,backpack,8,39,backpack,1.0,1213,782,-431,0.40161290322580645,0.9771428571428571,mask_graph_multi_view,,would_shrink_existing_mask
