scene_name,gt_instance_id,gt_class,gt_point_count,baseline_best_iou,original_best_purity,original_pure_point_fraction,original_has_pure_segment,ibsp_best_purity,ibsp_pure_point_fraction,ibsp_has_pure_segment,pure_ibsp_segment_count,has_pure_reliable_ibsp,has_pure_sampled_ibsp,sam2_best_iou
scene0084_01,161023,doorframe,790,0.5708661417322834,1.0,1.0,True,1.0,0.26329113924050634,True,4,True,False,0.24864864864864866
scene0084_01,208040,toilet seat cover dispenser,624,0.8041237113402062,1.0,1.0,True,0.7692307692307693,0.11217948717948718,True,2,False,False,0.0
scene0084_01,261028,sign,821,0.9101995565410199,1.0,1.0,True,1.0,0.9902557856272838,True,4,True,False,0.7486033519553073
scene0084_01,1156001,bathroom counter,2639,0.7171106838780554,1.0,1.0,True,1.0,0.8851837817355058,True,6,True,True,0.4844760672703752
scene0084_01,1163015,object,101,0.0,1.0,1.0,True,0.46411483253588515,0.0,False,0,False,False,0.45539906103286387
scene0084_01,1163019,object,223,0.0,1.0,1.0,True,1.0,0.9372197309417041,True,3,True,True,0.0
scene0084_01,1163031,object,154,0.0,1.0,1.0,True,1.0,1.0,True,2,False,False,0.0
scene0084_01,1169041,trash bin,525,1.0,1.0,1.0,True,1.0,0.08,True,1,False,False,0.0
scene0084_01,1179034,shower head,317,0.0,1.0,1.0,True,0.9692307692307692,0.8201892744479495,True,3,False,False,0.0
scene0084_02,5018,door,3556,0.9859392575928009,1.0,1.0,True,1.0,0.9988751406074241,True,4,True,True,0.9326410328374964
scene0084_02,14024,sink,1157,0.28396694214876034,1.0,1.0,True,1.0,0.9913569576490925,True,6,True,True,0.3228582117471006
scene0084_02,16014,window,1833,0.9502332814930016,1.0,1.0,True,1.0,0.7839607201309329,True,19,False,False,0.0
scene0084_02,17001,toilet,1997,0.9041297935103245,1.0,1.0,True,1.0,0.9959939909864797,True,9,False,False,0.0
scene0084_02,41035,ceiling,2660,0.9848204368752314,1.0,1.0,True,1.0,0.9830827067669173,True,7,False,False,0.001764386536373507
scene0084_02,49004,toilet paper,205,0.7167832167832168,1.0,1.0,True,0.6394052044609665,0.8390243902439024,True,1,False,False,0.0
scene0084_02,49026,toilet paper,558,0.7759856630824373,1.0,1.0,True,1.0,0.985663082437276,True,4,True,True,0.5989761092150171
scene0084_02,49027,toilet paper,153,1.0,1.0,1.0,True,0.967741935483871,0.9803921568627451,True,1,True,False,0.0018832391713747645
scene0084_02,55013,shower curtain,4254,0.8009040880503144,1.0,1.0,True,1.0,0.997649271274095,True,26,True,True,0.232247480665573
scene0084_02,56015,trash can,1123,0.9421140939597316,1.0,1.0,True,1.0,0.9830810329474622,True,6,True,False,0.809143686502177
scene0084_02,56016,trash can,460,0.9521739130434783,1.0,1.0,True,0.18821603927986907,0.0,False,0,False,False,0.0
scene0084_02,56022,trash can,971,0.8525021949078139,1.0,1.0,True,1.0,0.98043254376931,True,2,True,False,0.0
scene0084_02,71003,mirror,311,0.5819935691318328,1.0,1.0,True,1.0,0.639871382636656,True,3,True,False,0.12481787275376396
scene0084_02,82017,paper towel dispenser,1259,0.8276409849086577,1.0,1.0,True,1.0,0.9896743447180302,True,5,True,True,0.8476190476190476
scene0084_02,96009,radiator,1598,0.9684848484848485,1.0,1.0,True,1.0,0.11576971214017522,True,2,False,False,0.0
scene0084_02,100020,soap dispenser,244,1.0,1.0,1.0,True,1.0,1.0,True,3,True,False,0.0
scene0084_02,100023,soap dispenser,188,1.0,1.0,1.0,True,1.0,0.898936170212766,True,2,True,False,0.7552742616033755
scene0084_02,115043,toilet paper holder,203,0.13120567375886524,1.0,1.0,True,0.9900990099009901,0.6551724137931034,True,2,False,False,0.0
scene0084_02,116036,seat,1407,0.9663461538461539,1.0,1.0,True,1.0,0.9630419331911869,True,9,False,False,0.03130259171995961
