best_gt_class,best_gt_instance_id,best_gt_point_count,best_iou,candidate_id,coverage,error_type,matched_points,overlap_gt_count_10pct,point_count,precision,scene_name,source_track_ids,superpoint_count,support_score,valid_gt_point_fraction,visual_path
bathroom counter,1156001,2639,0.4844760672703752,0,0.8514588859416445,overmerged_or_boundary_leakage,2247,1,4246,0.5292039566650966,scene0084_01,[0],0,220.9985539898348,0.706547338671691,docs/diagnostics/sam2_reobservation_confirmed_smoke3_20260721/scene0084_01/visuals/candidate0000_overmerged_or_boundary_leakage.png
trash can,56022,1071,0.0011082051509375415,2,0.02334267040149393,weak_or_wrong_geometry,25,0,21513,0.0011620880397898944,scene0084_01,[2],0,53.09262378652815,0.0032073629898201087,docs/diagnostics/sam2_reobservation_confirmed_smoke3_20260721/scene0084_01/visuals/candidate0002_weak_or_wrong_geometry.png
shower wall,128030,18601,0.21651033418605595,7,0.2866512553088544,weak_or_wrong_geometry,5332,1,11358,0.46944884662792746,scene0084_01,[7],0,30.82411576806141,0.5110054587075189,docs/diagnostics/sam2_reobservation_confirmed_smoke3_20260721/scene0084_01/visuals/candidate0007_weak_or_wrong_geometry.png
doorframe,161023,790,0.12013729977116705,4,0.13291139240506328,mixed_multiple_instances,105,2,189,0.5555555555555556,scene0084_01,[4],0,15.847623510649743,0.9682539682539683,docs/diagnostics/sam2_reobservation_confirmed_smoke3_20260721/scene0084_01/visuals/candidate0004_mixed_multiple_instances.png
sign,261028,821,0.7486033519553073,5,0.8160779537149817,good_geometry,670,1,744,0.9005376344086021,scene0084_01,[5],0,11.162163374335783,0.9005376344086021,docs/diagnostics/sam2_reobservation_confirmed_smoke3_20260721/scene0084_01/visuals/candidate0005_good_geometry.png
,-1,0,0.0,1,0.0,background_or_non_instance,0,0,717,0.0,scene0084_01,[1],0,4.982456140350877,0.0,
,-1,0,0.0,6,0.0,background_or_non_instance,0,0,239,0.0,scene0084_01,[6],0,1.3684361549497848,0.0,
