scene_name,method,rank,segment_id,point_count,semantic_purity,semantic_majority,instance_purity,instance_majority
scene0608_01,knn_geometry,5,742,537,0.9422718808193669,9,0.9422718808193669,3
scene0608_01,knn_geometry,6,1796,520,0.9923076923076923,9,0.9923076923076923,3
scene0608_01,knn_geometry,7,200,519,1.0,12,1.0,33
scene0608_01,knn_geometry,8,2158,506,0.83399209486166,9,0.83399209486166,3
scene0608_01,knn_geometry,9,64,459,0.9956427015250545,37,0.9956427015250545,1
scene0608_01,knn_geometry,10,1005,455,0.0,-1,1.0,0
scene0608_01,knn_geometry,11,1532,443,1.0,9,1.0,3
scene0608_01,knn_geometry,12,1901,441,0.015873015873015872,1,0.9841269841269841,0
scene0608_01,mesh_normal,1,416,9355,1.0,33,1.0,1
scene0608_01,mesh_normal,2,1029,7211,0.9998613229787824,9,0.9998613229787824,3
scene0608_01,mesh_normal,3,427,6516,1.0,21,1.0,41
scene0608_01,mesh_normal,4,952,3904,1.0,9,1.0,3
scene0608_01,mesh_normal,5,1409,1610,1.0,5,1.0,1
scene0608_01,mesh_normal,6,1471,1592,1.0,7,1.0,1
scene0608_01,mesh_normal,7,198,1377,1.0,35,1.0,51
scene0608_01,mesh_normal,8,1421,1287,1.0,5,1.0,1
scene0608_01,mesh_normal,9,900,1145,1.0,1,1.0,6
scene0608_01,mesh_normal,10,1273,1103,1.0,4,1.0,74
scene0608_01,mesh_normal,11,371,963,1.0,17,1.0,1198
scene0608_01,mesh_normal,12,1506,956,1.0,22,1.0,41
scene0608_01,mesh_normal_ibsp,1,418,9355,1.0,33,1.0,1
scene0608_01,mesh_normal_ibsp,2,1031,7211,0.9998613229787824,9,0.9998613229787824,3
scene0608_01,mesh_normal_ibsp,3,429,6516,1.0,21,1.0,41
scene0608_01,mesh_normal_ibsp,4,954,3904,1.0,9,1.0,3
scene0608_01,mesh_normal_ibsp,5,1412,1610,1.0,5,1.0,1
scene0608_01,mesh_normal_ibsp,6,1474,1592,1.0,7,1.0,1
scene0608_01,mesh_normal_ibsp,7,198,1377,1.0,35,1.0,51
scene0608_01,mesh_normal_ibsp,8,1424,1287,1.0,5,1.0,1
scene0608_01,mesh_normal_ibsp,9,902,1145,1.0,1,1.0,6
scene0608_01,mesh_normal_ibsp,10,1276,1103,1.0,4,1.0,74
scene0608_01,mesh_normal_ibsp,11,373,962,1.0,17,1.0,1198
scene0608_01,mesh_normal_ibsp,12,1509,956,1.0,22,1.0,41
