best_gt_class,best_gt_instance_id,best_gt_point_count,best_iou,candidate_id,coverage,error_type,matched_points,overlap_gt_count_10pct,point_count,precision,scene_name,source_track_ids,superpoint_count,support_score,valid_gt_point_fraction,visual_path
door,5018,7265,0.011488650605765214,2,0.022711631108052306,weak_or_wrong_geometry,165,0,7262,0.022721013494904983,scene0019_01,[2],0,145.4892659441209,0.022721013494904983,docs/diagnostics/sam2_reobservation_soft_confirmed_smoke3_20260721/scene0019_01/visuals/candidate0002_weak_or_wrong_geometry.png
door,5019,4491,6.888950124001103e-05,1,0.00022266755733689602,weak_or_wrong_geometry,1,0,10026,9.974067424695791e-05,scene0019_01,[1],0,133.94947835353054,9.974067424695791e-05,docs/diagnostics/sam2_reobservation_soft_confirmed_smoke3_20260721/scene0019_01/visuals/candidate0001_weak_or_wrong_geometry.png
door,5018,7265,0.0006238546418684446,7,0.0022023399862353753,weak_or_wrong_geometry,16,0,18398,0.0008696597456245244,scene0019_01,[7],0,104.82749828618043,0.002228503098162844,docs/diagnostics/sam2_reobservation_soft_confirmed_smoke3_20260721/scene0019_01/visuals/candidate0007_weak_or_wrong_geometry.png
,-1,0,0.0,0,0.0,background_or_non_instance,0,0,398,0.0,scene0019_01,[0],0,21.34864035573555,0.0,
armchair,23004,4367,0.045167118337850046,3,0.04579803068468056,fragment_or_undercoverage,200,1,261,0.7662835249042146,scene0019_01,[3],0,12.769507168458782,0.7662835249042146,docs/diagnostics/sam2_reobservation_soft_confirmed_smoke3_20260721/scene0019_01/visuals/candidate0003_fragment_or_undercoverage.png
door,5019,4491,0.010783450704225352,6,0.010910710309507904,weak_or_wrong_geometry,49,1,102,0.4803921568627451,scene0019_01,[6],0,7.935947712418301,0.4803921568627451,docs/diagnostics/sam2_reobservation_soft_confirmed_smoke3_20260721/scene0019_01/visuals/candidate0006_weak_or_wrong_geometry.png
