scene_name,candidate_id,class_name,recommended_action,largest_cc_to_point_ratio,largest_cc_covered_by_point_ratio,point_covered_by_largest_cc_ratio,existing_mask_iou,existing_mask_seed_coverage,conflict_overlap,is_large_plane_class,is_small_plane_class,is_soft_thin_plane_class,action_reason
scene0578_00,3,table,manual_review,3.091549295774648,0.3128321943811693,0.9671361502347418,0.36598582742809505,1.0,0.0,False,False,False,largest_cc_to_point=3.09;largest_cc_covered_by_point=0.31;point_covered_by_largest_cc=0.97;mask3d_iou=0.37/coverage=1.00;large_expansion_with_mask3d_support
scene0599_02,2,window,manual_review,2.8883763837638377,0.3280102203768764,0.9474169741697417,0.4696969696969697,1.0,0.004612546125461255,False,False,False,largest_cc_to_point=2.89;largest_cc_covered_by_point=0.33;point_covered_by_largest_cc=0.95;mask3d_iou=0.47/coverage=1.00;large_expansion_with_mask3d_support
scene0633_00,4,picture,manual_review,2.5161290322580645,0.3916083916083916,0.9853372434017595,0.8265895953757225,1.0,0.0,False,True,False,small_plane_class;largest_cc_to_point=2.52;largest_cc_covered_by_point=0.39;point_covered_by_largest_cc=0.99;mask3d_iou=0.83/coverage=1.00;small_plane_large_expansion
scene0647_00,5,chair,manual_review,2.065610859728507,0.484118291347207,1.0,0.40923352756611386,1.0,0.0,False,False,False,largest_cc_to_point=2.07;point_covered_by_largest_cc=1.00;mask3d_iou=0.41/coverage=1.00;boundary_expands_without_cleanup=1.48;large_expansion_with_mask3d_support
scene0651_02,0,refrigerator,manual_review,2.742424242424242,0.36379090522736934,0.9976689976689976,0.5096382932640242,1.0,0.0,False,False,False,largest_cc_to_point=2.74;largest_cc_covered_by_point=0.36;point_covered_by_largest_cc=1.00;mask3d_iou=0.51/coverage=1.00;large_expansion_with_mask3d_support
