scene_name,points,method,old_segments,old_mean,old_median,old_p90,old_max,new_segments,new_mean,new_median,new_p90,new_p99,new_max,new_over_1000,new_over_5000,new_adjacency_edges,new_mixed_semantic_segments,new_mixed_semantic_ratio,new_mixed_instance_segments,new_mixed_instance_ratio,comparison_label
scene0011_00,237360,existing_felzenszwalb_geometry_superpoints_from_tools_generate_geometric_superpoints,1611,147.3370577281192,72.0,218.0,31741,2974,79.81170141223942,55.0,159.0,383.80999999999995,1068,1,0,8061,580,0.19502353732347008,565,0.18997982515131137,finer_and_less_overgrown
scene0077_00,92807,existing_felzenszwalb_geometry_superpoints_from_tools_generate_geometric_superpoints,683,135.8814055636896,74.0,226.00000000000034,5037,1139,81.4811237928007,59.0,166.0,411.15999999999804,702,0,0,3014,232,0.20368744512730466,174,0.1527655838454785,finer_and_less_overgrown
scene0608_01,191107,existing_felzenszwalb_geometry_superpoints_from_tools_generate_geometric_superpoints,1509,126.64479787939032,70.0,209.4000000000001,9355,2483,76.96616995569875,54.0,151.80000000000018,354.17999999999984,891,0,0,6701,645,0.2597664115988723,428,0.17237213048731373,finer_and_less_overgrown
